Gene ID,Gene Name,root,leaf,flower bud,flower,1 cm fruit,2 cm fruit,3 cm fruit,mature green fruit,breaker fruit,fruit at 10 days after the breaker stage
Solyc01g006200.2,Solyc01g006200.2,5,6,8,6,7,5,5,6,9,5
Solyc01g006210.2,Solyc01g006210.2,3,1,4,2,9,5,2,3,1,1
Solyc01g006220.2,Solyc01g006220.2,6,2,3,2,8,6,7,4,1,1
Solyc01g006230.2,Solyc01g006230.2,36,20,19,30,21,22,21,27,51,48
Solyc01g006240.2,Solyc01g006240.2,5,3,5,1,3,6,3,1,0.1,
Solyc01g006250.1,Solyc01g006250.1,3,6,4,4,4,4,4,4,4,4
Solyc01g006260.2,Solyc01g006260.2,8,4,6,6,9,11,11,7,3,1
Solyc01g006270.2,Solyc01g006270.2,0.7,0.3,0.2,0.1,1,2,1,0.3,,
Solyc01g006280.2,Solyc01g006280.2,131,87,45,126,78,125,154,109,132,99
Solyc01g006290.2,Solyc01g006290.2,6,8,55,20,2,2,0.1,1,0.5,0.5
Solyc01g006300.2,Solyc01g006300.2,28,33,21,16,3,2,0.3,3,,
Solyc01g006310.2,Solyc01g006310.2,30,,,,,,,,,
Solyc01g006320.2,Solyc01g006320.2,6,16,23,8,33,16,5,0.8,0.3,0.1
Solyc01g006330.2,Solyc01g006330.2,,67,6,5,4,3,2,0.2,0.2,0.2
Solyc01g006340.2,Solyc01g006340.2,8,4,5,7,5,5,5,8,8,10
Solyc01g006350.2,Solyc01g006350.2,51,17,21,21,31,40,46,53,45,41
Solyc01g006360.2,Solyc01g006360.2,38,12,9,10,21,34,38,42,33,30
Solyc01g006370.2,Solyc01g006370.2,53,16,27,20,88,117,113,53,18,20
Solyc01g006380.2,Solyc01g006380.2,28,5,2,0.9,0.7,0.9,0.4,0.1,,
Solyc01g006390.2,Solyc01g006390.2,2,,73,6,48,37,0.7,,,0.1
Solyc01g006400.2,Solyc01g006400.2,211,157,2205,360,1149,439,196,1,2,0.2
Solyc01g006410.2,Solyc01g006410.2,,,0.2,,0.3,,,,,
Solyc01g006430.2,Solyc01g006430.2,758,111,387,1143,294,455,623,640,374,308
Solyc01g006440.1,Solyc01g006440.1,0.3,,11,0.1,,,,,,
Solyc01g006450.2,Solyc01g006450.2,8,18,43,14,101,115,67,42,26,60
Solyc01g006460.1,Solyc01g006460.1,,,0.2,,,,,,0.1,
Solyc01g006480.2,Solyc01g006480.2,13,8,11,10,15,11,9,10,14,15
Solyc01g006490.2,Solyc01g006490.2,15,5,4,6,7,12,11,21,24,29
Solyc01g006500.2,Solyc01g006500.2,7,7,5,7,5,8,12,8,8,9
Solyc01g006510.2,Solyc01g006510.2,46,88,39,55,46,56,87,98,124,50
Solyc01g006520.2,Solyc01g006520.2,2,6,1,3,0.6,2,0.9,3,1,0.1
Solyc01g006530.1,Solyc01g006530.1,,,,,,,,0.2,,
Solyc01g006540.2,Solyc01g006540.2,0.1,18,37,41,18,47,14,7,129,453
Solyc01g006550.2,Solyc01g006550.2,0.4,0.9,0.2,0.6,,0.1,,2,0.3,0.2
Solyc01g006560.2,Solyc01g006560.2,,100,40,13,2,3,0.6,,0.1,
Solyc01g006580.2,Solyc01g006580.2,27,,,,0.1,,,,0.1,0.2
Solyc01g006620.2,Solyc01g006620.2,1,0.2,,0.1,,,,,,
Solyc01g006630.2,Solyc01g006630.2,29,13,24,13,32,31,19,20,17,13
Solyc01g006650.1,Solyc01g006650.1,2,0.7,5,8,0.3,0.2,0.4,0.5,0.6,0.5
Solyc01g006660.1,Solyc01g006660.1,8,0.9,0.3,0.2,,,,,0.1,
Solyc01g006670.2,Solyc01g006670.2,6,2,0.6,0.5,1,2,4,7,10,9
Solyc01g006680.2,Solyc01g006680.2,13,15,5,3,20,22,87,45,60,22
Solyc01g006690.2,Solyc01g006690.2,19,12,10,15,4,4,3,5,14,0.3
Solyc01g006700.2,Solyc01g006700.2,33,7,9,13,24,32,25,26,19,28
Solyc01g006710.2,Solyc01g006710.2,14,4,5,5,7,11,11,12,9,12
Solyc01g006720.2,Solyc01g006720.2,5,42,14,33,6,12,6,2,0.3,0.5
Solyc01g006730.2,Solyc01g006730.2,,0.2,9,16,0.5,0.5,2,1,0.4,
Solyc01g006740.2,Solyc01g006740.2,8,4,5,4,6,8,6,7,3,1
Solyc01g006750.2,Solyc01g006750.2,0.4,0.2,0.1,0.6,0.4,0.5,0.8,,0.8,
Solyc01g006760.2,Solyc01g006760.2,,,8,32,,,0.1,,,
Solyc01g006780.2,Solyc01g006780.2,0.9,0.1,0.3,0.7,0.4,0.7,0.6,0.1,,
Solyc01g006790.2,Solyc01g006790.2,47,9,50,76,5,5,7,5,0.6,0.2
Solyc01g006800.2,Solyc01g006800.2,116,39,59,76,73,77,83,91,73,82
Solyc01g006810.2,Solyc01g006810.2,24,28,33,27,44,30,17,21,9,9
Solyc01g006820.2,Solyc01g006820.2,0.6,0.2,0.1,0.1,0.1,1,0.5,,0.4,0.3
Solyc01g006830.2,Solyc01g006830.2,69,167,46,32,143,124,78,76,56,60
Solyc01g006840.2,Solyc01g006840.2,9,0.1,0.3,,0.4,0.1,,0.1,,
Solyc01g006850.1,Solyc01g006850.1,1,0.3,0.2,0.5,0.6,1,0.9,1,0.8,1
Solyc01g006860.2,Solyc01g006860.2,12,10,18,11,22,12,11,10,10,7
Solyc01g006870.2,Solyc01g006870.2,21,15,22,28,14,25,23,14,11,6
Solyc01g006880.2,Solyc01g006880.2,10,4,5,4,5,9,14,10,14,15
Solyc01g006890.2,Solyc01g006890.2,18,6,9,7,16,20,7,6,2,1
Solyc01g006900.2,Solyc01g006900.2,463,138,376,295,1101,610,395,305,243,201
Solyc01g006910.2,Solyc01g006910.2,1,0.6,0.1,,,,,,,
Solyc01g006920.2,Solyc01g006920.2,0.9,0.3,0.3,0.3,0.5,0.8,1,1,0.6,0.8
Solyc01g006930.2,Solyc01g006930.2,83,7,4,6,5,12,11,53,24,12
Solyc01g006940.2,Solyc01g006940.2,8,103,51,31,76,69,65,38,27,25
Solyc01g006950.2,Solyc01g006950.2,24,1,0.2,2,2,2,0.5,16,0.7,2
Solyc01g006960.2,Solyc01g006960.2,27,8,8,7,16,23,27,25,19,18
Solyc01g006970.2,Solyc01g006970.2,18,7,8,9,12,16,27,21,23,21
Solyc01g006980.2,Solyc01g006980.2,33,23,36,18,75,103,65,37,28,17
Solyc01g006990.2,Solyc01g006990.2,21,11,18,16,20,27,26,20,24,28
Solyc01g007000.2,Solyc01g007000.2,1,0.1,,,1,0.2,,0.9,,
Solyc01g007010.2,Solyc01g007010.2,6,6,0.1,,1,0.1,0.2,0.6,0.1,
Solyc01g007020.2,Solyc01g007020.2,9,9,0.1,,0.5,0.4,0.1,2,0.4,0.6
Solyc01g007030.2,Solyc01g007030.2,1,0.2,,,0.1,0.1,,0.2,,
Solyc01g007050.1,Solyc01g007050.1,0.1,0.1,,,0.3,0.3,0.1,0.2,,
Solyc01g007060.2,Solyc01g007060.2,15,7,6,7,8,8,8,8,9,12
Solyc01g007070.2,Solyc01g007070.2,73,20,35,86,83,178,250,193,225,146
Solyc01g007080.2,Solyc01g007080.2,,0.1,0.7,0.2,,,,,,
Solyc01g007100.2,Solyc01g007100.2,4,35,12,23,8,13,8,10,2,10
Solyc01g007110.2,Solyc01g007110.2,62,26,77,119,64,65,97,125,99,206
Solyc01g007120.2,Solyc01g007120.2,25,13,13,18,20,19,14,24,19,27
Solyc01g007130.2,Solyc01g007130.2,43,4,4,6,4,6,5,13,2,1
Solyc01g007140.2,Solyc01g007140.2,7,2,2,2,4,5,3,4,2,5
Solyc01g007150.2,Solyc01g007150.2,68,19,29,24,63,100,90,94,63,57
Solyc01g007160.2,Solyc01g007160.2,2,0.4,2,0.7,6,3,0.6,1,0.4,0.2
Solyc01g007170.2,Solyc01g007170.2,7,0.3,0.8,0.2,2,0.7,0.2,0.1,,
Solyc01g007180.2,Solyc01g007180.2,8,4,6,6,6,7,11,10,12,9
Solyc01g007190.2,Solyc01g007190.2,7,1,2,4,0.8,4,10,6,7,12
Solyc01g007200.2,Solyc01g007200.2,0.4,0.5,8,7,1,0.6,0.7,,0.1,0.1
Solyc01g007210.2,Solyc01g007210.2,,,8,17,,,,,,
Solyc01g007220.2,Solyc01g007220.2,593,58,88,128,46,183,483,731,539,130
Solyc01g007230.2,Solyc01g007230.2,26,14,18,14,13,20,10,18,28,19
Solyc01g007240.2,Solyc01g007240.2,0.1,,16,50,,,0.4,0.1,,
Solyc01g007250.2,Solyc01g007250.2,21,6,7,8,14,14,10,15,11,18
Solyc01g007260.2,Solyc01g007260.2,17,1,1,1,0.4,0.9,0.8,0.2,0.1,0.1
Solyc01g007270.1,Solyc01g007270.1,,,,,,1,,,,
Solyc01g007280.2,Solyc01g007280.2,0.5,0.8,0.3,0.3,0.9,2,0.9,0.2,0.4,0.9
Solyc01g007290.1,Solyc01g007290.1,0.3,5,0.1,0.9,0.8,4,1,1,0.3,0.9
Solyc01g007300.1,Solyc01g007300.1,0.7,5,0.8,1,0.7,4,3,2,0.7,2
Solyc01g007310.2,Solyc01g007310.2,0.8,11,1,4,1,3,3,2,0.2,2
Solyc01g007320.2,Solyc01g007320.2,70,347,35,100,112,659,630,278,175,170
Solyc01g007330.2,Solyc01g007330.2,4,78,21,23,20,94,102,8,3,56
Solyc01g007340.2,Solyc01g007340.2,1,0.4,0.4,0.4,0.4,2,2,0.4,0.1,3
Solyc01g007350.2,Solyc01g007350.2,1,3,2,1,0.8,5,5,0.9,0.9,3
Solyc01g007360.2,Solyc01g007360.2,0.5,1,0.5,0.5,1,4,2,0.3,0.5,3
Solyc01g007370.2,Solyc01g007370.2,0.7,3,0.7,0.7,2,7,6,2,0.6,3
Solyc01g007380.1,Solyc01g007380.1,0.5,1,0.3,0.3,0.5,4,3,0.8,0.6,2
Solyc01g007390.1,Solyc01g007390.1,,,0.6,,,3,,,,
Solyc01g007400.1,Solyc01g007400.1,2,7,2,2,3,12,5,3,1,5
Solyc01g007410.2,Solyc01g007410.2,8,35,15,16,28,28,33,21,12,14
Solyc01g007420.2,Solyc01g007420.2,0.3,3,0.5,0.9,1,4,2,,0.3,0.5
Solyc01g007430.2,Solyc01g007430.2,0.3,0.6,0.2,0.2,1,2,2,0.6,0.5,1
Solyc01g007460.2,Solyc01g007460.2,0.8,8,1,0.4,3,4,5,3,2,0.8
Solyc01g007470.1,Solyc01g007470.1,1,4,1,1,2,8,5,1,1,3
Solyc01g007480.1,Solyc01g007480.1,,0.2,,0.3,0.3,0.4,0.9,,1,
Solyc01g007490.2,Solyc01g007490.2,22,26,7,13,11,24,21,15,10,11
Solyc01g007500.2,Solyc01g007500.2,0.2,16,6,7,6,24,31,3,0.7,2
Solyc01g007510.1,Solyc01g007510.1,0.9,2,0.6,3,2,2,0.8,0.9,,4
Solyc01g007520.2,Solyc01g007520.2,0.7,2,1,2,1,7,7,1,0.2,0.6
Solyc01g007530.2,Solyc01g007530.2,,5,2,1,2,10,12,1,0.7,4
Solyc01g007540.2,Solyc01g007540.2,0.3,2,0.7,0.7,0.3,5,6,0.1,0.2,0.7
Solyc01g007550.1,Solyc01g007550.1,0.5,7,3,1,1,5,6,,,0.8
Solyc01g007560.2,Solyc01g007560.2,0.6,0.5,0.2,0.3,0.2,2,2,0.6,0.2,0.4
Solyc01g007570.2,Solyc01g007570.2,0.4,0.3,0.1,0.1,0.1,0.6,0.7,0.2,0.2,0.5
Solyc01g007580.2,Solyc01g007580.2,0.2,,0.1,,0.1,1,0.4,,,0.1
Solyc01g007600.2,Solyc01g007600.2,1,1,0.9,0.8,2,5,4,0.7,0.4,2
Solyc01g007610.2,Solyc01g007610.2,1,2,0.8,1,2,9,4,2,0.8,3
Solyc01g007630.2,Solyc01g007630.2,4,10,5,7,7,24,32,14,11,19
Solyc01g007640.2,Solyc01g007640.2,0.2,0.1,0.1,0.1,0.1,0.4,0.3,0.1,0.1,0.3
Solyc01g007660.2,Solyc01g007660.2,0.6,8,2,2,3,6,7,4,2,4
Solyc01g007670.2,Solyc01g007670.2,2,45,10,14,14,16,18,10,8,14
Solyc01g007680.1,Solyc01g007680.1,,,,,,0.2,,,,
Solyc01g007690.2,Solyc01g007690.2,,0.1,0.1,,0.4,0.6,0.6,,,2
Solyc01g007700.2,Solyc01g007700.2,0.4,,3,4,4,7,2,0.1,0.2,0.8
Solyc01g007720.2,Solyc01g007720.2,4,22,8,14,17,39,31,3,2,176
Solyc01g007730.2,Solyc01g007730.2,1,,0.3,3,8,60,21,0.5,,0.2
Solyc01g007740.2,Solyc01g007740.2,42,29,54,48,78,111,92,95,84,123
Solyc01g007750.2,Solyc01g007750.2,3,10,5,7,7,20,18,13,7,8
Solyc01g007760.2,Solyc01g007760.2,17,7,9,9,15,15,12,18,19,27
Solyc01g007770.2,Solyc01g007770.2,28,8,6,14,14,14,11,24,19,31
Solyc01g007780.2,Solyc01g007780.2,24,3,3,2,1,0.8,0.8,0.6,0.2,1
Solyc01g007790.2,Solyc01g007790.2,9,7,16,10,16,20,15,14,13,24
Solyc01g007800.2,Solyc01g007800.2,2,1,2,2,0.5,0.1,,,,
Solyc01g007810.1,Solyc01g007810.1,0.7,9,6,2,3,0.9,0.1,,0.1,
Solyc01g007820.1,Solyc01g007820.1,3,0.3,0.9,1,0.7,2,0.6,0.7,0.9,0.8
Solyc01g007830.1,Solyc01g007830.1,0.5,0.4,0.3,0.2,0.2,0.6,0.6,,0.4,0.7
Solyc01g007840.2,Solyc01g007840.2,18,8,14,14,17,29,24,24,28,40
Solyc01g007850.2,Solyc01g007850.2,5,4,4,4,3,5,6,5,6,7
Solyc01g007860.2,Solyc01g007860.2,224,88,108,150,184,241,309,180,202,133
Solyc01g007870.2,Solyc01g007870.2,3,5,22,5,12,7,5,1,0.6,0.4
Solyc01g007880.2,Solyc01g007880.2,6,8,5,5,8,11,9,9,5,11
Solyc01g007890.1,Solyc01g007890.1,18,18,7,6,5,7,8,1,2,0.4
Solyc01g007900.2,Solyc01g007900.2,24,10,22,17,20,22,16,29,30,42
Solyc01g007910.2,Solyc01g007910.2,126,24,48,42,94,96,57,77,57,76
Solyc01g007920.2,Solyc01g007920.2,23,26,19,23,19,27,49,59,66,60
Solyc01g007930.2,Solyc01g007930.2,11,9,13,12,12,16,34,19,12,18
Solyc01g007940.2,Solyc01g007940.2,,0.1,,0.1,,,,,,0.1
Solyc01g007950.2,Solyc01g007950.2,0.7,0.9,117,175,3,3,3,1,0.2,0.5
Solyc01g007960.2,Solyc01g007960.2,13,0.1,,0.2,,0.3,0.1,0.2,0.1,
Solyc01g007970.1,Solyc01g007970.1,2,,,,,0.1,,,,
Solyc01g007980.2,Solyc01g007980.2,2,7,6,8,6,12,15,15,8,2
Solyc01g007990.2,Solyc01g007990.2,10,3,4,4,8,8,9,7,4,6
Solyc01g008000.2,Solyc01g008000.2,499,268,567,652,575,511,930,1274,1126,540
Solyc01g008010.2,Solyc01g008010.2,11,19,52,119,18,14,7,8,4,3
Solyc01g008020.2,Solyc01g008020.2,93,61,27,29,43,25,40,8,0.6,0.1
Solyc01g008030.2,Solyc01g008030.2,62,0.2,1,,0.4,0.3,0.4,0.2,,
Solyc01g008040.1,Solyc01g008040.1,0.1,,3,1,,,,,0.1,
Solyc01g008050.2,Solyc01g008050.2,7,0.1,27,9,0.1,0.1,,,,
Solyc01g008060.2,Solyc01g008060.2,50,31,41,39,41,41,39,31,23,22
Solyc01g008070.2,Solyc01g008070.2,22,46,43,62,31,38,69,75,161,243
Solyc01g008080.2,Solyc01g008080.2,88,31,62,68,155,174,280,217,183,45
Solyc01g008090.2,Solyc01g008090.2,257,76,140,131,310,296,173,175,184,183
Solyc01g008100.2,Solyc01g008100.2,33,18,38,28,41,58,40,39,30,8
Solyc01g008110.2,Solyc01g008110.2,509,175,284,198,749,540,222,198,297,251
Solyc01g008120.2,Solyc01g008120.2,45,14,10,16,16,24,26,25,23,30
Solyc01g008130.2,Solyc01g008130.2,26,3,7,47,1,5,12,21,7,2
Solyc01g008140.2,Solyc01g008140.2,41,4,4,10,4,10,13,10,12,7
Solyc01g008150.1,Solyc01g008150.1,0.5,3,0.7,,,,0.9,,,0.4
Solyc01g008160.2,Solyc01g008160.2,8,10,16,15,30,28,21,22,34,49
Solyc01g008170.2,Solyc01g008170.2,28,13,14,24,23,30,32,32,24,20
Solyc01g008180.2,Solyc01g008180.2,21,19,18,14,18,12,12,15,12,5
Solyc01g008190.2,Solyc01g008190.2,18,7,8,15,9,9,12,10,13,17
Solyc01g008200.2,Solyc01g008200.2,11,4,7,12,7,10,9,11,10,12
Solyc01g008210.2,Solyc01g008210.2,9,2,8,4,5,6,9,10,3,5
Solyc01g008220.2,Solyc01g008220.2,5,0.7,3,3,2,5,6,7,2,2
Solyc01g008230.2,Solyc01g008230.2,47,50,64,59,138,127,202,145,88,116
Solyc01g008240.2,Solyc01g008240.2,2,0.3,682,787,0.8,0.3,3,1,0.4,0.1
Solyc01g008250.2,Solyc01g008250.2,6,135,33,39,25,32,28,22,15,19
Solyc01g008260.2,Solyc01g008260.2,17,8,20,19,16,11,16,28,22,23
Solyc01g008270.2,Solyc01g008270.2,72,24,35,24,72,61,62,51,37,54
Solyc01g008280.2,Solyc01g008280.2,42,10,14,23,25,45,46,61,60,60
Solyc01g008290.2,Solyc01g008290.2,17,6,8,7,10,9,7,8,3,10
